subject_id,reactionTime,choices_1,choices_2,correct,image_idx
192648,653.09999999404,9,0,1,187
192648,737.20000000298,6,0,1,8
192648,674.40000000596,8,0,1,163
192648,1189.20000000298,1,7,1,140
192648,913.600000008941,6,2,1,44
192648,615.09999999404,4,6,1,85
192648,673.70000000298,5,9,1,103
192648,641.79999999702,2,0,1,54
192648,580.90000000596,4,9,1,180
192648,854.5,7,2,1,41
192648,553.79999999702,6,2,1,46
192648,871.199999988079,6,1,1,122
192648,765.90000000596,2,0,1,2
192648,613.90000000596,6,0,1,2
192648,804.5,1,7,1,25
192648,733.600000008941,8,0,1,18
556699,1282,8,2,1,46
556699,2205.70000000298,4,0,1,2
556699,827.40000000596,9,5,1,187
556699,1239.90000000596,4,5,1,85
556699,958.20000000298,5,8,1,101
556699,726.5,9,3,1,191
556699,1444.60000000894,7,8,0,142
556699,911.399999991059,4,2,1,85
556699,968.70000000298,3,0,1,8
556699,1009.09999999404,3,4,1,81
556699,868.199999988079,1,8,1,161
556699,827.20000000298,3,2,1,68
556699,1145.69999998808,3,1,1,25
556699,939.29999999702,2,5,1,103
556699,1330.39999999106,8,4,1,163
556699,1118.60000000894,8,4,1,173
556699,902.199999988079,1,2,1,54
556699,1142.20000000298,7,4,1,144
556699,987,8,7,1,173
556699,1121.79999999702,0,7,1,144
556699,1008.40000000596,0,1,1,0
556699,778.40000000596,4,9,1,187
556699,826,0,2,1,54
556699,600.40000000596,7,9,1,187
556699,1021.5,2,8,1,41
556699,853.20000000298,3,1,1,22
556699,1005.90000000596,6,5,1,122
556699,1718.40000000596,6,7,1,144
556699,726.29999999702,9,4,1,180
556699,1111.80000001192,6,9,1,123
556699,871.79999999702,2,9,1,54
556699,929.29999999702,2,7,1,41
556699,783.699999988079,3,7,1,76
556699,748.29999999702,7,1,1,31
556699,1046,8,7,1,144
556699,746.100000008941,0,3,1,18
556699,661,8,5,1,173
556699,846.699999988079,5,3,1,102
556699,911.20000000298,1,0,1,25
556699,809.90000000596,0,2,1,18
556699,705.29999999702,9,7,1,187
556699,1181.59999999404,4,8,1,173
556699,773.59999999404,2,0,1,44
556699,1255.20000000298,9,7,1,142
556699,1403.59999999404,1,6,1,130
556699,714.5,2,0,1,41
556699,743.09999999404,9,1,1,180
556699,2022.20000000298,1,5,1,102
556699,1017.80000001192,4,2,1,54
556699,978.800000011921,3,5,1,101
556699,766.5,4,5,1,105
556699,908.899999991059,0,7,1,140
556699,865.40000000596,9,5,1,102
556699,1137,6,7,1,122
556699,673.59999999404,2,9,1,191
556699,704.20000000298,9,0,1,180
556699,877.59999999404,7,0,1,0
556699,2039.90000000596,4,9,1,85
556699,1005.59999999404,4,5,1,87
556699,978.899999991059,2,1,1,22
410370,2557,8,9,1,199
410370,908,4,3,1,87
410370,756.29999999702,7,9,1,180
410370,1196.60000000894,2,8,1,44
410370,779.20000000298,7,5,1,144
410370,1203.5,2,5,1,101
410370,859.29999999702,0,8,1,8
410370,866.29999999702,2,5,1,102
410370,1105.60000000894,9,5,1,103
410370,981.399999991059,3,6,1,122
410370,1091.5,5,9,1,105
410370,799.09999999404,9,5,1,191
410370,678.70000000298,8,6,1,161
410370,671.40000000596,0,7,1,2
410370,994.300000011921,4,7,1,144
410370,884.40000000596,7,4,1,142
410370,758.79999999702,3,5,1,76
410370,1111.20000000298,2,9,1,187
410370,2471.70000000298,7,4,1,86
410370,869.40000000596,7,2,1,142
410370,924.90000000596,4,7,1,140
410370,632.800000011921,0,5,1,102
